year,region,total_colonies,healthy_count,bleached_count,dead_count,avg_old_dead_pct,avg_recent_dead_pct,avg_colony_length_cm,latitude,longitude,healthy_pct,bleached_pct,dead_pct,global_bleaching_avg_pct,global_bleaching_records,coral_health_index
2015,American Samoa,44667,39781,2236,2772,12.146340372226199,1.2669619488624924,18.486298609711866,-14.030616778253178,-170.18859183916203,89.06,5.01,6.21,15.68,1470.0,0.8906
2016,American Samoa,2967,2443,423,115,9.61274014155713,0.9443882709807887,17.283788338388945,-14.540720876980116,-168.15878337007078,82.34,14.26,3.88,19.53,2305.0,0.8234
2018,American Samoa,13067,12277,219,588,10.182889501071319,0.8503213957759412,18.720287747761535,-14.052490576703399,-169.9594435997245,93.95,1.68,4.5,,,0.9395
2023,American Samoa,24735,23470,257,1026,10.335368072118689,0.5547156081982455,18.597993564867597,-13.85504349525003,-170.11306041646117,94.89,1.04,4.15,,,0.9489
2013,Main Hawaiian Islands,18522,16869,221,1512,13.945895020188425,0.546043049037061,17.332140157650365,20.936829324965274,-157.2892806605222,91.08,1.19,8.16,3.95,627.0,0.9108
2016,Main Hawaiian Islands,16309,12589,1172,2679,21.364364792953698,0.7196770444675515,17.42491262493102,20.763619815251957,-156.97469037769082,77.19,7.19,16.43,19.53,2305.0,0.7719
2019,Main Hawaiian Islands,12810,9642,862,2492,23.888016175441326,0.4226611711641652,18.578602654176425,20.67594489809005,-156.87808033249866,75.27,6.73,19.45,,,0.7527
2014,Mariana Archipelago,29141,26263,244,2667,14.610775566231984,0.23067947838023337,14.705312103222264,16.578305726052417,145.38151829378774,90.12,0.84,9.15,13.47,2349.0,0.9012
2017,Mariana Archipelago,24280,20997,715,2692,17.138495047877367,0.39863559774791435,14.770203476398386,16.498480950717955,145.44967878230386,86.48,2.94,11.09,8.06,1051.0,0.8648
2022,Mariana Archipelago,19560,17185,96,2308,18.11616858237548,0.4034227330779055,15.262372188139059,16.50997523943806,145.34608355560664,87.86,0.49,11.8,,,0.8786
2014,Northwestern Hawaiian Islands,2090,1668,265,194,10.086133459536205,1.6791292001893043,19.621531100478467,25.50698882789399,-171.35709495811642,79.81,12.68,9.28,13.47,2349.0,0.7981
2015,Northwestern Hawaiian Islands,4909,4670,133,119,4.18869109947644,4.7824083769633505,17.4436748828682,26.283748925828085,-173.02975269010363,95.13,2.71,2.42,15.68,1470.0,0.9513
2016,Northwestern Hawaiian Islands,7321,6212,340,838,14.531344100739119,1.0980016424856283,18.75905425720924,25.749329942446046,-171.51056264218815,84.85,4.64,11.45,19.53,2305.0,0.8485
2017,Northwestern Hawaiian Islands,5032,4091,593,419,11.873863187030446,1.7042309213127718,16.983230616302187,26.096357758007116,-172.70207252866746,81.3,11.78,8.33,8.06,1051.0,0.813
2014,Pacific Remote Island Areas,2619,2461,65,97,8.105303319343761,0.3174360930942388,24.181939671630392,19.305412878832506,166.62538511964897,93.97,2.48,3.7,13.47,2349.0,0.9397
2015,Pacific Remote Island Areas,24001,22491,459,1111,8.631914627537622,1.2144733002626205,19.288758801716597,4.678659851765685,-165.17862783789914,93.71,1.91,4.63,15.68,1470.0,0.9371
2016,Pacific Remote Island Areas,196,273,56,45,15.533519553072626,2.2206703910614527,23.196428571428573,-0.3722941368715084,-159.99592153351955,139.29,28.57,22.96,19.53,2305.0,1.3929
2017,Pacific Remote Island Areas,3138,2645,347,335,15.0188851660067,0.12062138288151081,26.370299553855958,16.877710453871458,126.43703953716114,84.29,11.06,10.68,8.06,1051.0,0.8429
2018,Pacific Remote Island Areas,8855,7592,668,714,10.877484559236384,1.0041545025825287,18.472851496329756,5.094823364674377,-164.03198325369414,85.74,7.54,8.06,,,0.8574
2023,Pacific Remote Island Areas,4386,4236,18,135,10.377620783956244,0.4216043755697356,19.155870683674873,0.571405224247949,-176.562583948268,96.58,0.41,3.08,,,0.9658
